event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
SLV1325,2018-01-02,2018,1,"Political violence",Battles,"Armed clash","Unidentified Gang (El Salvador)",,3,"Unidentified Gang (El Salvador)",,3,33,,222,"Central America","El Salvador","San Salvador","San Martin",,"San Martin",13.7386,-89.0549,2,"Diario 1",National,"On 2 January 2018, in San Martin municipality, San Salvador, two gang members were killed after being tortured in canton El Rosario. They had their throats slit and hands tied. There is no information about the perpetrators but it is believed the attack is related to disputes between gangs. 2 fatalities.",2,,1607554482,,,,
SLV1376,2018-01-02,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","San Miguel","San Antonio",,"San Antonio del Mosco",13.8401,-88.2644,2,"Diario 1",National,"On 2 January 2018, in San Antonio del Mosco municipality, San Miguel, gang members killed a man in canton San Diego. The reason is unknown. 1 fatality.",1,,1607554483,,,,
SLV1324,2018-01-02,2018,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (El Salvador)",,3,"MS-13: Mara Salvatrucha",,3,33,,222,"Central America","El Salvador",Cuscatlan,"El Carmen",,"El Carmen",13.7223,-88.9038,1,"FGR (El Salvador)",Other,"On 2 January 2018, in El Carmen, Cuscatlan, a member of the gang Mara Salvatrucha was killed with a firearm. The motive is unknown. There is no information about the perpetrator. 1 fatality.",1,,1608228083,,,,
SLV1378,2018-01-03,2018,1,"Political violence",Battles,"Armed clash","Unidentified Gang (El Salvador)",,3,"Unidentified Gang (El Salvador)",,3,33,,222,"Central America","El Salvador","Santa Ana","Santa Ana",,"Santa Ana",13.9942,-89.5597,1,"La Prensa Grafica",National,"On 3 January 2018, an armed clash between gangs in Santa Ana resulted in a minor killed and another one injured. Either the victims and the perpetrators are accused to be gangsters. During the afternoon another attack was perpetrated, resulting in two minors killed, and a women and a 2 year old minor were injured. The attacks seem to be part of a dispute for territory control.",2,,1607554533,,,,
SLV1377,2018-01-03,2018,1,"Political violence",Battles,"Armed clash","B-18: Barrio-18",,3,"Private Security Forces (El Salvador)",,8,38,,222,"Central America","El Salvador","La Libertad",Zaragoza,,Zaragoza,13.5894,-89.2889,1,"La Prensa Grafica",National,"On 3 January 2018, in Zaragoza, members of 18th Street Gang attacked and killed private watchman. The gangsters thought he had a gun after being hired as watchman and were looking to steal it, but he did not. The neighbourhood is under the complete control of 18th Street Gang.",1,,1607554535,,,,
SLV1381,2018-01-04,2018,2,"Political violence",Battles,"Armed clash","Unidentified Armed Group (El Salvador)",,3,"Jucuapa Locos Salvatruchos Gang",,3,33,,222,"Central America","El Salvador",Usulutan,"San Buenaventura",,"San Buenaventura",13.5333,-88.3833,2,"La Prensa Grafica; Diario 1",National,"Around 4 January 2018 (as reported), in San Buenaventura municipality, Usulutan, two members of the gang Jucuapa Locos Salvatruchos were killed and their bodies were found with a shot in the head in canton El Semillero. There is no information about the perpetrators. 2 fatalities.",2,,1607554459,,,,
SLV1380,2018-01-04,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador",Sonsonate,Acajutla,,"San Julian",13.6136,-89.7925,1,"La Prensa Grafica",National,"On 4 January 2018, in San Julian, Sonsonate, at least ten unidentified armed men attacked a group of young men as they were finishing football practice. Two of the victims died and four were injured. The motivation of the attack is not clear yet, nor the identity of the perpetrators.",2,,1618571140,,,,
SLV1379,2018-01-04,2018,1,"Political violence",Battles,"Armed clash","Unidentified Gang (El Salvador)","Prisoners (El Salvador)",3,"Unidentified Gang (El Salvador)","Prisoners (El Salvador)",3,33,,222,"Central America","El Salvador",Morazan,"San Francisco Gotera",,"San Francisco Gotera",13.6901,-88.1002,1,"La Prensa Grafica",National,"On 4 January 2018, in San Francisco Gotera, in Morazan, two inmates that belonged to a gang were found dead in the bathrooms of the prison. Both of them suffered knife injuries.",2,,1715042109,,,,
SLV1382,2018-01-05,2018,1,"Political violence",Battles,"Armed clash","B-18 (S): Barrio-18 (Surenos)",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador","La Libertad",Quezaltepeque,,Primavera,13.8178,-89.2983,1,"Diario 1",National,"On 5 January 2018, in Primavera, La Libertad, a member of the gang B-18 Surenos was killed in an armed clash with police officers. 1 fatality.",1,,1607554482,,,,
SLV1385,2018-01-05,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador","San Salvador",,"San Salvador",13.6894,-89.1872,2,"FGR (El Salvador)",Other,"On 5 January 2018, in San Salvador municipality, San Salvador, a man was killed by unidentified men who drove a motorcycle in De Oro Highway on km 6 (drive-by). 1 fatality.",1,,1607554521,,,,
