departamento,municipio,nuestro_tiempo,fmln,n,pdc,vamos,pcn,gana,cd,coalicion_arena,leonardo_bonilla,impugnados,nulos,abstenciones,papeletas_faltantes,sobrantes,inutilizadas,coalicion_n_gana,arena,coalicion_arena_pcn,coalicion_pcn,jesus_segovia
san salvador,san salvador,13346.09964519,9392,95813,3280,5762,2050,5406,1221,33964,696,188,3709,834,120,181785,2924,NA,NA,NA,NA,NA
san salvador,ciudad delgado,1037.8212162,2394,33873,325,676,475,2650,251,4015,117,28,978,453,11,48203,410,NA,NA,NA,NA,NA
san salvador,mejicanos,3480.89497202,5560,43847,659,1841,698,2738,450,7097,270,41,1641,353,25,69440,350,NA,NA,NA,NA,NA
san salvador,soyapango,2444.87161825,4343,77603,760,1892,1075,3757,725,8038,241,225,2160,631,55,104947,1790,NA,NA,NA,NA,NA
san salvador,cuscatancingo,529.4999792,1419,24397,191,657,343,1178,132,2240,54,17,680,201,6,32184,864,NA,NA,NA,NA,NA
san salvador,san marcos,794.11935933,2267,21780,268,722,298,942,339,2391,93,26,687,288,4,30315,382,NA,NA,NA,NA,NA
san salvador,ilopango,820.90553075,1223,28485,325,680,277,1872,186,3360,69,69,753,312,13,40607,743,NA,NA,NA,NA,NA
san salvador,nejapa,168.43372277,1230,10109,94,183,643,357,85,704,20,3,308,296,2,13784,13,NA,NA,NA,NA,NA
san salvador,apopa,852.96985433,2059,43195,367,595,450,1889,223,3580,86,30,1037,485,26,60533,784,NA,NA,NA,NA,NA
san salvador,san martin,441.22611475,1319,27004,278,466,253,1719,131,3689,50,27,694,394,7,34552,1076,NA,NA,NA,NA,NA
san salvador,panchimalco,323.2926005,2945,12165,113,212,375,508,64,2246,32,17,403,432,4,14533,626,NA,NA,NA,NA,NA
san salvador,aguilares,213.3388863,532,6458,287,73,292,584,27,856,15,11,197,195,6,12628,24,NA,NA,NA,NA,NA
san salvador,tonacatepeque,374.03872729,1146,24044,171,342,297,1408,777,1948,35,14,621,305,10,33568,33,NA,NA,NA,NA,NA
san salvador,santo tomas,257.36486627,651,10006,153,179,121,554,115,2049,21,5,253,190,11,11703,332,NA,NA,NA,NA,NA
san salvador,santiago texacuangos,97.20612107,365,6779,48,64,74,361,49,1170,15,2,148,138,1,7896,293,NA,NA,NA,NA,NA
san salvador,el paisnal,40.49721603,1017,4102,54,22,80,329,15,312,4,0,132,170,1,7007,13,NA,NA,NA,NA,NA
san salvador,guazapa,99.47105801,471,7493,143,103,579,389,70,643,25,0,201,258,0,12613,12,NA,NA,NA,NA,NA
san salvador,ayutuxtepeque,609.2317787,941,9790,149,326,148,610,93,1796,44,12,313,186,1,15074,8,NA,NA,NA,NA,NA
san salvador,rosario de mora,36.69011863,926,3458,27,44,109,223,52,653,6,2,138,151,1,4671,2,NA,NA,NA,NA,NA
cuscatlan,cojutepeque,NA,1028,4910,142,692,2040,153,NA,NA,NA,18,257,176,13,26112,31,12452,1676,NA,NA,NA
cuscatlan,suchitoto,NA,4319,2690,18,43,322,54,NA,NA,NA,3,126,135,1,11748,5,4038,296,NA,NA,NA
cuscatlan,san pedro perulapan,NA,1315,5062,50,205,2914,100,NA,NA,NA,26,271,309,17,19132,23,10193,2382,NA,NA,NA
cuscatlan,san jose guayabal,NA,207,1506,16,30,290,20,NA,NA,NA,11,54,70,0,4882,1,2078,634,NA,NA,NA
cuscatlan,tenancingo,NA,912,817,5,24,199,22,NA,NA,NA,4,50,84,5,2763,2,1206,206,NA,NA,NA
cuscatlan,san rafael cedros,NA,772,1619,20,98,510,21,NA,NA,NA,8,103,95,6,8823,1,3909,815,NA,NA,NA
cuscatlan,candelaria,NA,232,1132,20,66,555,21,NA,NA,NA,4,67,79,5,4494,11,2633,480,NA,NA,NA
cuscatlan,el carmen,NA,185,1373,19,77,378,48,NA,NA,NA,12,67,142,1,5261,5,3310,1721,NA,NA,NA
cuscatlan,monte san juan,NA,148,1417,90,71,996,25,NA,NA,NA,7,90,118,4,4314,6,2665,550,NA,NA,NA
cuscatlan,san cristobal,NA,148,973,10,48,552,17,NA,NA,NA,4,81,112,1,2369,6,2005,1373,NA,NA,NA
cuscatlan,santa cruz michapa,NA,198,1507,19,51,602,23,NA,NA,NA,7,55,72,2,4850,13,2648,450,NA,NA,NA
cuscatlan,san bartolome perulapia,NA,426,1123,14,24,122,36,NA,NA,NA,0,45,45,0,4104,3,1958,500,NA,NA,NA
cuscatlan,san ramon,NA,210,594,11,70,363,27,NA,NA,NA,0,31,43,0,2583,273,1743,351,NA,NA,NA
cuscatlan,el rosario,NA,8,337,0,29,217,2,NA,NA,NA,2,23,35,0,1896,1,687,259,NA,NA,NA
cuscatlan,oratorio de concepcion,NA,69,397,8,6,467,6,NA,NA,NA,1,12,30,1,2032,0,1087,82,NA,NA,NA
cuscatlan,santa cruz analquito,NA,50,277,6,14,212,18,NA,NA,NA,3,22,33,1,1309,0,793,63,NA,NA,NA
ahuachapan,ahuachapan,NA,1653,32330,470,NA,6520,2459,381,3230,NA,52,754,521,90,58141,398,NA,NA,NA,NA,NA
ahuachapan,atiquizaya,NA,458,10521,50,NA,724,329,36,1659,NA,1,216,185,2,16415,904,NA,NA,NA,NA,NA
ahuachapan,san francisco menendez,NA,438,6549,62,NA,6452,3433,39,647,NA,42,382,533,1,25508,14,NA,NA,NA,NA,NA
ahuachapan,tacuba,NA,845,6142,23,NA,4756,242,72,691,NA,26,186,267,6,11838,7,NA,NA,NA,NA,NA
ahuachapan,concepcion de ataco,NA,864,3497,19,NA,43,416,12,2011,NA,7,106,184,1,5435,3,NA,NA,NA,NA,NA
ahuachapan,jujutla,NA,209,7251,36,NA,1079,257,27,2592,NA,32,189,360,6,13972,588,NA,NA,NA,NA,NA
ahuachapan,guaymango,NA,3168,4868,22,NA,245,239,13,978,NA,1,101,209,1,7647,7,NA,NA,NA,NA,NA
ahuachapan,apaneca,NA,134,2938,10,NA,259,213,10,841,NA,19,49,100,1,4523,1,NA,NA,NA,NA,NA
ahuachapan,san pedro puxtla,NA,299,2261,3,NA,467,439,1,1150,NA,15,52,97,0,2915,1,NA,NA,NA,NA,NA
ahuachapan,san lorenzo,NA,153,2489,14,NA,1206,650,295,234,NA,9,106,153,4,4479,6,NA,NA,NA,NA,NA
ahuachapan,turin,NA,71,2763,85,NA,1284,199,18,243,NA,1,57,59,2,5018,0,NA,NA,NA,NA,NA
ahuachapan,el refugio,NA,61,3565,10,NA,968,149,9,318,NA,1,43,55,0,4618,2,NA,NA,NA,NA,NA
morazan,san francisco gotera,NA,901,5140,197,NA,645,1678,NA,NA,NA,4,224,122,9,13775,16,NA,1087,NA,NA,NA
morazan,jocoro,NA,725,3847,24,NA,88,445,NA,NA,NA,5,131,110,2,7752,313,NA,556,NA,NA,NA
morazan,corinto,NA,476,3309,13,NA,24,485,NA,NA,NA,7,104,189,3,11808,5,NA,979,NA,NA,NA
morazan,sociedad,NA,358,2652,18,NA,34,1045,NA,NA,NA,9,137,206,1,8491,4,NA,1044,NA,NA,NA
morazan,cacaopera,NA,1947,1761,19,NA,109,298,NA,NA,NA,22,109,260,3,6572,4,NA,1496,NA,NA,NA
morazan,guatajiagua,NA,332,2325,10,NA,14,630,NA,NA,NA,15,101,178,0,6904,1,NA,689,NA,NA,NA
morazan,el divisadero,NA,853,1771,10,NA,96,425,NA,NA,NA,18,91,99,4,4146,3,NA,183,NA,NA,NA
morazan,jocoaitique,NA,1098,1188,6,NA,39,92,NA,NA,NA,2,22,45,0,2276,2,NA,130,NA,NA,NA
morazan,osicala,NA,178,2716,23,NA,554,624,NA,NA,NA,2,79,111,1,4407,4,NA,401,NA,NA,NA
morazan,chilanga,NA,390,1504,22,NA,310,1440,NA,NA,NA,2,76,127,3,6923,3,NA,399,NA,NA,NA
morazan,meanguera,NA,1397,1826,8,NA,40,279,NA,NA,NA,3,25,61,0,2591,0,NA,70,NA,NA,NA
morazan,torola,NA,643,474,0,NA,33,510,NA,NA,NA,0,25,72,4,947,7,NA,86,NA,NA,NA
